date|time|description|vendor|amount
2026-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2026-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2026-04-20|09:30:00|office supplies|Staples|-45.99
2026-04-21|14:22:00|consulting fee|ABC Corp|2500.00
2026-04-22|08:00:00|coffee|Starbucks|-5.75
2026-04-22|16:45:00|freelance project|Sarah|800.00
2026-04-23|12:30:00|lunch meeting|Chipotle|-25.00
2026-04-23|18:00:00|book sale|BookStore|45.00
2026-04-24|09:15:00|internet bill|Comcast|-89.99
2026-04-24|13:45:00|payment received|Client XYZ|1200.00
2026-04-27|14:46:36|test description|Test vendor|100.00
2026-04-27|14:51:31|testing desc.|Test store|-400.00
